t,px_sim,py_sim,px_closed,py_closed
0.0000,0.000000,0.000000,0.000000,0.000000
0.0833,1.178511,1.144449,1.178511,1.144449
0.1667,2.357023,2.220773,2.357023,2.220773
0.2500,3.535534,3.228971,3.535534,3.228971
0.3333,4.714045,4.169045,4.714045,4.169045
0.4167,5.892557,5.040994,5.892557,5.040994
0.5000,7.071068,5.844818,7.071068,5.844818
0.5833,8.249579,6.580517,8.249579,6.580517
0.6667,9.428090,7.248090,9.428090,7.248090
0.7500,10.606602,7.847539,10.606602,7.847539
0.8333,11.785113,8.378863,11.785113,8.378863
0.9167,12.963624,8.842062,12.963624,8.842062
1.0000,14.142136,9.237136,14.142136,9.237136
1.0833,15.320647,9.564084,15.320647,9.564084
1.1667,16.499158,9.822908,16.499158,9.822908
1.2500,17.677670,10.013607,17.677670,10.013607
1.3333,18.856181,10.136181,18.856181,10.136181
1.4167,20.034692,10.190630,20.034692,10.190630
1.5000,21.213203,10.176953,21.213203,10.176953
1.5833,22.391715,10.095152,22.391715,10.095152
1.6667,23.570226,9.945226,23.570226,9.945226
1.7500,24.748737,9.727175,24.748737,9.727175
1.8333,25.927249,9.440999,25.927249,9.440999
1.9167,27.105760,9.086697,27.105760,9.086697
2.0000,28.284271,8.664271,28.284271,8.664271
2.0833,29.462783,8.173720,29.462783,8.173720
2.1667,30.641294,7.615044,30.641294,7.615044
2.2500,31.819805,6.988243,31.819805,6.988243
2.3333,32.998316,6.293316,32.998316,6.293316
2.4167,34.176828,5.530265,34.176828,5.530265
2.5000,35.355339,4.699089,35.355339,4.699089
2.5833,36.533850,3.799788,36.533850,3.799788
2.6667,37.712362,2.832362,37.712362,2.832362
2.7500,38.890873,1.796810,38.890873,1.796810
2.8333,40.069384,0.693134,40.069384,0.693134
2.9167,41.247896,-0.478667,41.247896,-0.478667
3.0000,42.426407,-1.718593,42.426407,-1.718593
3.0833,43.604918,-3.026644,43.604918,-3.026644
