t,py,vy
0.0000,2.110000,0.000000
0.0083,2.109659,-0.081750
0.0167,2.108637,-0.163500
0.0250,2.106934,-0.245250
0.0333,2.104550,-0.327000
0.0417,2.101484,-0.408750
0.0500,2.097737,-0.490500
0.0583,2.093309,-0.572250
0.0667,2.088200,-0.654000
0.0750,2.082409,-0.735750
0.0833,2.075937,-0.817500
0.0917,2.068784,-0.899250
0.1000,2.060950,-0.981000
0.1083,2.052434,-1.062750
0.1167,2.043237,-1.144500
0.1250,2.033359,-1.226250
0.1333,2.022800,-1.308000
0.1417,2.011559,-1.389750
0.1500,1.999637,-1.471500
0.1583,1.987034,-1.553250
0.1667,1.973750,-1.635000
0.1750,1.959784,-1.716750
0.1833,1.945137,-1.798500
0.1917,1.929809,-1.880250
0.2000,1.913800,-1.962000
0.2083,1.897109,-2.043750
0.2167,1.879737,-2.125500
0.2250,1.861684,-2.207250
0.2333,1.842950,-2.289000
0.2417,1.823534,-2.370750
0.2500,1.803437,-2.452500
0.2583,1.782659,-2.534250
0.2667,1.761200,-2.616000
0.2750,1.739059,-2.697750
0.2833,1.716237,-2.779500
0.2917,1.692734,-2.861250
0.3000,1.668550,-2.943000
0.3083,1.643684,-3.024750
0.3167,1.618137,-3.106500
0.3250,1.591909,-3.188250
0.3333,1.565000,-3.270000
0.3417,1.537409,-3.351750
0.3500,1.509137,-3.433500
0.3583,1.480184,-3.515250
0.3667,1.450550,-3.597000
0.3750,1.420234,-3.678750
0.3833,1.389237,-3.760500
0.3917,1.357559,-3.842250
0.4000,1.325200,-3.924000
0.4083,1.292159,-4.005750
0.4167,1.258437,-4.087500
0.4250,1.224034,-4.169250
0.4333,1.188950,-4.251000
0.4417,1.153184,-4.332750
0.4500,1.116737,-4.414500
0.4583,1.079609,-4.496250
0.4667,1.041800,-4.578000
0.4750,1.003309,-4.659750
0.4833,0.964137,-4.741500
0.4917,0.924284,-4.823250
0.5000,0.883750,-4.905000
0.5083,0.842534,-4.986750
0.5167,0.800637,-5.068500
0.5250,0.758059,-5.150250
0.5333,0.714800,-5.232000
0.5417,0.670859,-5.313750
0.5500,0.626237,-5.395500
0.5583,0.580934,-5.477250
0.5667,0.534950,-5.559000
0.5750,0.488284,-5.640750
0.5833,0.440937,-5.722500
0.5917,0.392909,-5.804250
0.6000,0.344200,-5.886000
0.6083,0.294809,-5.967750
0.6167,0.244737,-6.049500
0.6250,0.193984,-6.131250
0.6333,0.142550,-6.213000
0.6417,0.129486,6.233568
0.6500,0.181092,6.151818
0.6583,0.232017,6.070068
0.6667,0.282260,5.988318
0.6750,0.331822,5.906568
0.6833,0.380703,5.824818
0.6917,0.428902,5.743068
0.7000,0.476420,5.661318
0.7083,0.523257,5.579568
0.7167,0.569413,5.497818
0.7250,0.614888,5.416068
0.7333,0.659681,5.334318
0.7417,0.703793,5.252568
0.7500,0.747224,5.170818
0.7583,0.789973,5.089068
0.7667,0.832042,5.007318
0.7750,0.873429,4.925568
0.7833,0.914134,4.843818
0.7917,0.954159,4.762068
0.8000,0.993502,4.680318
0.8083,1.032164,4.598568
0.8167,1.070145,4.516818
0.8250,1.107444,4.435068
0.8333,1.144063,4.353318
0.8417,1.180000,4.271568
0.8500,1.215256,4.189818
0.8583,1.249830,4.108068
0.8667,1.283723,4.026318
0.8750,1.316935,3.944568
0.8833,1.349466,3.862818
0.8917,1.381316,3.781068
0.9000,1.412484,3.699318
0.9083,1.442971,3.617568
0.9167,1.472777,3.535818
0.9250,1.501901,3.454068
0.9333,1.530345,3.372318
0.9417,1.558107,3.290568
0.9500,1.585187,3.208818
0.9583,1.611587,3.127068
0.9667,1.637305,3.045318
0.9750,1.662342,2.963568
0.9833,1.686698,2.881818
0.9917,1.710372,2.800068
1.0000,1.733366,2.718318
1.0083,1.755678,2.636568
1.0167,1.777308,2.554818
1.0250,1.798258,2.473068
1.0333,1.818526,2.391318
1.0417,1.838113,2.309568
1.0500,1.857019,2.227818
1.0583,1.875244,2.146068
1.0667,1.892787,2.064318
1.0750,1.909649,1.982568
1.0833,1.925830,1.900818
1.0917,1.941329,1.819068
1.1000,1.956147,1.737318
1.1083,1.970284,1.655568
1.1167,1.983740,1.573818
1.1250,1.996515,1.492068
1.1333,2.008608,1.410318
1.1417,2.020020,1.328568
1.1500,2.030751,1.246818
1.1583,2.040800,1.165068
1.1667,2.050169,1.083318
1.1750,2.058856,1.001568
1.1833,2.066861,0.919818
1.1917,2.074186,0.838068
1.2000,2.080829,0.756318
1.2083,2.086791,0.674568
1.2167,2.092072,0.592818
1.2250,2.096672,0.511068
1.2333,2.100590,0.429318
1.2417,2.103827,0.347568
1.2500,2.106383,0.265818
1.2583,2.108257,0.184068
1.2667,2.109450,0.102318
1.2750,2.109962,0.020568
1.2833,2.109793,-0.061182
1.2917,2.108943,-0.142932
1.3000,2.107411,-0.224682
