t,py_hard,py_grass
0.0000,2.110000,2.110000
0.0417,2.101485,2.101485
0.0833,2.075943,2.075943
0.1250,2.033386,2.033386
0.1667,1.973834,1.973834
0.2083,1.897314,1.897314
0.2500,1.803861,1.803861
0.2917,1.693518,1.693518
0.3333,1.566335,1.566335
0.3750,1.422371,1.422371
0.4167,1.261690,1.261690
0.4583,1.084365,1.084365
0.5000,0.890476,0.890476
0.5417,0.680109,0.680109
0.5833,0.453358,0.453358
0.6250,0.210324,0.210324
0.6667,0.239310,0.215956
0.7083,0.438716,0.376954
0.7500,0.620599,0.520606
0.7917,0.785044,0.646979
0.8333,0.932129,0.756132
0.8750,1.061922,0.848117
0.9167,1.174484,0.922975
0.9583,1.269869,0.980742
1.0000,1.348119,1.021445
1.0417,1.409272,1.045101
1.0833,1.453355,1.051723
1.1250,1.480390,1.041313
1.1667,1.490387,1.013878
1.2083,1.483354,0.969429
1.2500,1.459293,0.907988
1.2917,1.418215,0.829583
1.3333,1.360141,0.734249
1.3750,1.285096,0.622030
1.4167,1.193114,0.492978
1.4583,1.084239,0.347151
1.5000,0.958519,0.184615
1.5417,0.816012,0.178478
1.5833,0.656783,0.284606
1.6250,0.480903,0.373573
1.6667,0.288451,0.445420
1.7083,0.135616,0.500182
1.7500,0.307034,0.537883
1.7917,0.461062,0.558540
1.8333,0.597772,0.562163
1.8750,0.717228,0.548756
1.9167,0.819485,0.518325
1.9583,0.904592,0.470883
2.0000,0.972588,0.406454
2.0417,1.023504,0.325066
2.0833,1.057363,0.226756
2.1250,1.074182,0.111571
2.1667,1.073969,0.187239
2.2083,1.056725,0.248468
2.2500,1.022460,0.292628
2.2917,0.971189,0.319739
2.3333,0.902936,0.329813
2.3750,0.817732,0.322855
2.4167,0.715617,0.298870
2.4583,0.596636,0.257869
2.5000,0.460844,0.199870
2.5417,0.308303,0.124901
2.5833,0.139081,0.154089
2.6250,0.232231,0.191965
2.6667,0.362288,0.212797
2.7083,0.475113,0.216596
2.7500,0.570760,0.203364
2.7917,0.649271,0.173107
2.8333,0.710685,0.125841
2.8750,0.755029,0.136266
2.9167,0.782323,0.157588
2.9583,0.792581,0.161875
3.0000,0.785807,0.149133
3.0417,0.762006,0.119366
3.0833,0.721189,0.127676
3.1250,0.663374,0.135617
3.1667,0.588587,0.126527
3.2083,0.496864,0.115454
3.2500,0.388246,0.110000
3.2917,0.262783,0.109000
3.3333,0.120532,0.109000
3.3750,0.222585,0.109000
3.4167,0.326979,0.109000
3.4583,0.414216,0.109000
3.5000,0.484338,0.109000
3.5417,0.537377,0.109000
3.5833,0.573356,0.109000
3.6250,0.592294,0.109000
3.6667,0.594198,0.109000
3.7083,0.579073,0.109000
3.7500,0.546924,0.109000
3.7917,0.497767,0.109000
3.8333,0.431624,0.109000
3.8750,0.348526,0.109000
3.9167,0.248511,0.109000
3.9583,0.131625,0.109000
4.0000,0.194478,0.109000
