t,sidespin_x,sidespin_z,topspin_x,topspin_z,backspin_x,backspin_z,nospin_z
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0124,1.1968,0.0000,1.2000,0.0000,1.1936,1.1969
0.1000,0.0487,2.3735,0.0000,2.3859,0.0000,2.3611,2.3741
0.1500,0.1081,3.5302,0.0000,3.5570,0.0000,3.5035,3.5325
0.2000,0.1895,4.6674,0.0000,4.7129,0.0000,4.6219,4.6725
0.2500,0.2920,5.7852,0.0000,5.8533,0.0000,5.7171,5.7950
0.3000,0.4147,6.8838,0.0000,6.9775,0.0000,6.7901,6.9005
0.3500,0.5568,7.9635,0.0000,8.0853,0.0000,7.8417,7.9895
0.4000,0.7174,9.0245,0.0000,9.1761,0.0000,8.8728,9.0626
0.4500,0.8957,10.0670,0.0000,10.2497,0.0000,9.8842,10.1203
0.5000,1.0910,11.0913,0.0000,11.3057,0.0000,10.8767,11.1630
0.5500,1.3025,12.0975,0.0000,12.3436,0.0000,11.8510,12.1912
0.6000,1.5297,13.0857,0.0000,13.3633,0.0000,12.8078,13.2053
0.6500,1.7716,14.0564,0.0000,14.3642,0.0000,13.7479,14.2056
0.7000,2.0279,15.0095,0.0000,15.1758,0.0000,14.6719,15.1926
0.7500,2.2977,15.9453,0.0000,15.9388,0.0000,15.5805,16.1665
0.8000,2.5805,16.8639,0.0000,16.6971,0.0000,16.4743,17.1277
0.8500,2.8757,17.7656,0.0000,17.4496,0.0000,17.3539,18.0765
0.9000,3.1827,18.6505,0.0000,18.1950,0.0000,18.2200,19.0132
0.9500,3.5009,19.5188,0.0000,18.9322,0.0000,19.0730,19.9380
1.0000,3.8299,20.3707,0.0000,19.6603,0.0000,19.9135,20.8512
1.0500,4.1691,21.2063,0.0000,20.3781,0.0000,20.7420,21.7530
1.1000,4.5180,22.0257,0.0000,21.0575,0.0000,21.5592,22.6436
1.1500,4.8760,22.8292,0.0000,21.6204,0.0000,22.3653,23.5232
1.2000,5.2428,23.6168,0.0000,22.1812,0.0000,23.1610,24.3921
1.2500,5.5836,24.3195,0.0000,22.7390,0.0000,23.9467,25.1729
1.3000,5.8698,24.8857,0.0000,23.2925,0.0000,24.7228,25.8074
1.3500,6.1637,25.4456,0.0000,23.8407,0.0000,25.4898,26.4399
1.4000,6.4647,25.9984,0.0000,24.3826,0.0000,26.2480,27.0695
1.4500,6.7722,26.5431,0.0000,24.8611,0.0000,26.9979,27.6953
1.5000,7.0855,27.0791,0.0000,25.3266,0.0000,27.7398,28.3163
1.5500,7.4040,27.6057,0.0000,25.7896,0.0000,28.4742,28.9318
1.6000,7.7271,28.1220,0.0000,26.2492,0.0000,29.2013,29.5409
1.6500,8.0541,28.6275,0.0000,26.6951,0.0000,29.9215,30.1429
1.7000,8.3845,29.1216,0.0000,27.1137,0.0000,30.6351,30.7369
1.7500,8.6993,29.5846,0.0000,27.5304,0.0000,31.3425,31.2851
