t,player_z,ball_z,gap,ball_speed,state
0.0000,-2.000,0.000,2.000,0.000,REST
0.0333,-1.800,0.000,1.800,0.000,REST
0.0667,-1.600,0.000,1.600,0.000,REST
0.1000,-1.400,0.000,1.400,0.000,REST
0.1333,-1.200,0.000,1.200,0.000,REST
0.1667,-1.000,0.000,1.000,0.000,REST
0.2000,-0.800,0.000,0.800,0.000,REST
0.2333,-0.600,0.000,0.600,0.000,REST
0.2667,-0.400,0.000,0.400,0.000,REST
0.3000,-0.200,0.163,0.363,7.514,DRIBBLE_CONTROLLED
0.3333,0.000,0.411,0.411,7.341,DRIBBLE_CONTROLLED
0.3667,0.200,0.653,0.453,7.170,DRIBBLE_CONTROLLED
0.4000,0.400,0.890,0.490,7.001,DRIBBLE_CONTROLLED
0.4333,0.600,1.120,0.520,6.832,DRIBBLE_CONTROLLED
0.4667,0.800,1.346,0.546,6.664,DRIBBLE_CONTROLLED
0.5000,1.000,1.565,0.565,6.497,SLIDING
0.5333,1.200,1.779,0.579,6.331,SLIDING
0.5667,1.400,1.988,0.588,6.166,SLIDING
0.6000,1.600,2.191,0.591,6.002,SLIDING
0.6333,1.800,2.389,0.589,5.839,SLIDING
0.6667,2.000,2.581,0.581,5.677,SLIDING
0.7000,2.200,2.768,0.568,5.516,SLIDING
0.7333,2.400,2.949,0.549,5.355,DRIBBLE_CONTROLLED
0.7667,2.600,3.125,0.525,5.195,DRIBBLE_CONTROLLED
0.8000,2.800,3.296,0.496,5.036,DRIBBLE_CONTROLLED
0.8333,3.000,3.462,0.462,4.877,DRIBBLE_CONTROLLED
0.8667,3.200,3.622,0.422,4.720,DRIBBLE_CONTROLLED
0.9000,3.400,3.777,0.377,4.563,DRIBBLE_CONTROLLED
0.9333,3.600,3.953,0.353,7.557,DRIBBLE_CONTROLLED
0.9667,3.800,4.202,0.402,7.384,DRIBBLE_CONTROLLED
1.0000,4.000,4.446,0.446,7.213,DRIBBLE_CONTROLLED
1.0333,4.200,4.684,0.484,7.043,DRIBBLE_CONTROLLED
1.0667,4.400,4.916,0.516,6.873,DRIBBLE_CONTROLLED
1.1000,4.600,5.142,0.542,6.705,DRIBBLE_CONTROLLED
1.1333,4.800,5.363,0.563,6.538,SLIDING
1.1667,5.000,5.579,0.579,6.372,SLIDING
1.2000,5.200,5.789,0.589,6.206,SLIDING
1.2333,5.400,5.993,0.593,6.042,SLIDING
1.2667,5.600,6.192,0.592,5.879,SLIDING
1.3000,5.800,6.385,0.585,5.716,SLIDING
1.3333,6.000,6.574,0.574,5.554,SLIDING
1.3667,6.200,6.756,0.556,5.393,SLIDING
1.4000,6.400,6.934,0.534,5.233,DRIBBLE_CONTROLLED
1.4333,6.600,7.106,0.506,5.102,DRIBBLE_CONTROLLED
1.4667,6.800,7.275,0.475,5.056,DRIBBLE_CONTROLLED
1.5000,7.000,7.443,0.443,5.011,DRIBBLE_CONTROLLED
1.5333,7.200,7.610,0.410,4.967,DRIBBLE_CONTROLLED
1.5667,7.400,7.774,0.374,4.922,DRIBBLE_CONTROLLED
1.6000,7.600,7.960,0.360,7.557,DRIBBLE_CONTROLLED
1.6333,7.800,8.210,0.410,7.384,DRIBBLE_CONTROLLED
1.6667,8.000,8.453,0.453,7.213,DRIBBLE_CONTROLLED
1.7000,8.200,8.691,0.491,7.042,DRIBBLE_CONTROLLED
1.7333,8.400,8.923,0.523,6.873,DRIBBLE_CONTROLLED
1.7667,8.600,9.149,0.549,6.705,DRIBBLE_CONTROLLED
1.8000,8.800,9.370,0.570,6.538,SLIDING
1.8333,9.000,9.586,0.586,6.371,SLIDING
1.8667,9.200,9.796,0.596,6.206,SLIDING
1.9000,9.400,10.000,0.600,6.041,SLIDING
1.9333,9.600,10.199,0.599,5.878,SLIDING
1.9667,9.800,10.393,0.593,5.800,ROLLING
2.0000,10.000,10.586,0.586,5.751,ROLLING
2.0333,10.200,10.777,0.577,5.703,ROLLING
2.0667,10.400,10.966,0.566,5.655,ROLLING
2.1000,10.600,11.154,0.554,5.607,ROLLING
2.1333,10.800,11.340,0.540,5.559,DRIBBLE_CONTROLLED
2.1667,11.000,11.525,0.525,5.511,DRIBBLE_CONTROLLED
2.2000,11.200,11.708,0.508,5.464,DRIBBLE_CONTROLLED
2.2333,11.400,11.889,0.489,5.417,DRIBBLE_CONTROLLED
2.2667,11.600,12.069,0.469,5.370,DRIBBLE_CONTROLLED
2.3000,11.800,12.247,0.447,5.324,DRIBBLE_CONTROLLED
2.3333,12.000,12.424,0.424,5.277,DRIBBLE_CONTROLLED
2.3667,12.200,12.599,0.399,5.231,DRIBBLE_CONTROLLED
2.4000,12.400,12.773,0.373,5.185,DRIBBLE_CONTROLLED
2.4333,12.600,12.945,0.345,5.140,DRIBBLE_CONTROLLED
2.4667,12.800,13.196,0.396,7.427,DRIBBLE_CONTROLLED
2.5000,13.000,13.441,0.441,7.255,DRIBBLE_CONTROLLED
2.5333,13.200,13.680,0.480,7.085,DRIBBLE_CONTROLLED
2.5667,13.400,13.914,0.514,6.915,DRIBBLE_CONTROLLED
2.6000,13.600,14.141,0.541,6.747,DRIBBLE_CONTROLLED
2.6333,13.800,14.364,0.564,6.579,SLIDING
2.6667,14.000,14.581,0.581,6.413,SLIDING
2.7000,14.200,14.792,0.592,6.247,SLIDING
2.7333,14.400,14.998,0.598,6.082,SLIDING
2.7667,14.600,15.198,0.598,5.961,ROLLING
2.8000,14.800,15.396,0.596,5.911,ROLLING
2.8333,15.000,15.592,0.592,5.862,ROLLING
2.8667,15.200,15.787,0.587,5.813,ROLLING
2.9000,15.400,15.980,0.580,5.764,ROLLING
2.9333,15.600,16.172,0.572,5.716,ROLLING
2.9667,15.800,16.361,0.561,5.667,ROLLING
3.0000,16.000,16.549,0.549,5.619,DRIBBLE_CONTROLLED
3.0333,16.200,16.736,0.536,5.571,DRIBBLE_CONTROLLED
3.0667,16.400,16.921,0.521,5.524,DRIBBLE_CONTROLLED
3.1000,16.600,17.104,0.504,5.476,DRIBBLE_CONTROLLED
3.1333,16.800,17.286,0.486,5.429,DRIBBLE_CONTROLLED
3.1667,17.000,17.467,0.467,5.382,DRIBBLE_CONTROLLED
3.2000,17.200,17.645,0.445,5.336,DRIBBLE_CONTROLLED
3.2333,17.400,17.822,0.422,5.289,DRIBBLE_CONTROLLED
3.2667,17.600,17.998,0.398,5.243,DRIBBLE_CONTROLLED
3.3000,17.800,18.172,0.372,5.197,DRIBBLE_CONTROLLED
3.3333,18.000,18.345,0.345,5.151,DRIBBLE_CONTROLLED
3.3667,18.000,18.516,0.516,5.106,ROLLING
3.4000,18.000,18.685,0.685,5.061,ROLLING
3.4333,18.000,18.853,0.853,5.016,ROLLING
3.4667,18.000,19.020,1.020,4.971,ROLLING
3.5000,18.000,19.185,1.185,4.926,ROLLING
3.5333,18.000,19.348,1.348,4.881,ROLLING
3.5667,18.000,19.510,1.510,4.837,ROLLING
3.6000,18.000,19.671,1.671,4.793,ROLLING
3.6333,18.000,19.830,1.830,4.749,ROLLING
3.6667,18.000,19.988,1.988,4.705,ROLLING
