scenario,tick,from,to
带球60s（含停球沉降）,34,SLIDING,DRIBBLE_CONTROLLED
带球60s（含停球沉降）,57,DRIBBLE_CONTROLLED,SLIDING
带球60s（含停球沉降）,88,SLIDING,DRIBBLE_CONTROLLED
带球60s（含停球沉降）,134,DRIBBLE_CONTROLLED,SLIDING
带球60s（含停球沉降）,166,SLIDING,DRIBBLE_CONTROLLED
带球60s（含停球沉降）,213,DRIBBLE_CONTROLLED,SLIDING
带球60s（含停球沉降）,233,SLIDING,ROLLING
带球60s（含停球沉降）,254,ROLLING,DRIBBLE_CONTROLLED
带球60s（含停球沉降）,314,DRIBBLE_CONTROLLED,SLIDING
带球60s（含停球沉降）,331,SLIDING,ROLLING
带球60s（含停球沉降）,360,ROLLING,DRIBBLE_CONTROLLED
带球60s（含停球沉降）,401,DRIBBLE_CONTROLLED,ROLLING
带球60s（含停球沉降）,957,ROLLING,REST
草地落体60s,78,AIRBORNE,BOUNCING
草地落体60s,78,BOUNCING,AIRBORNE
草地落体60s,177,AIRBORNE,BOUNCING
草地落体60s,177,BOUNCING,AIRBORNE
草地落体60s,244,AIRBORNE,BOUNCING
草地落体60s,244,BOUNCING,AIRBORNE
草地落体60s,290,AIRBORNE,BOUNCING
草地落体60s,290,BOUNCING,AIRBORNE
草地落体60s,321,AIRBORNE,BOUNCING
草地落体60s,321,BOUNCING,AIRBORNE
草地落体60s,342,AIRBORNE,BOUNCING
草地落体60s,342,BOUNCING,AIRBORNE
草地落体60s,345,AIRBORNE,ROLLING
草地落体60s,507,ROLLING,REST
e=1 持续弹跳60s,77,AIRBORNE,BOUNCING
e=1 持续弹跳60s,77,BOUNCING,AIRBORNE
e=1 持续弹跳60s,230,AIRBORNE,BOUNCING
e=1 持续弹跳60s,230,BOUNCING,AIRBORNE
e=1 持续弹跳60s,384,AIRBORNE,BOUNCING
e=1 持续弹跳60s,384,BOUNCING,AIRBORNE
e=1 持续弹跳60s,537,AIRBORNE,BOUNCING
e=1 持续弹跳60s,537,BOUNCING,AIRBORNE
e=1 持续弹跳60s,690,AIRBORNE,BOUNCING
e=1 持续弹跳60s,690,BOUNCING,AIRBORNE
e=1 持续弹跳60s,843,AIRBORNE,BOUNCING
e=1 持续弹跳60s,843,BOUNCING,AIRBORNE
e=1 持续弹跳60s,997,AIRBORNE,BOUNCING
e=1 持续弹跳60s,997,BOUNCING,AIRBORNE
e=1 持续弹跳60s,1150,AIRBORNE,BOUNCING
e=1 持续弹跳60s,1150,BOUNCING,AIRBORNE
e=1 持续弹跳60s,1303,AIRBORNE,BOUNCING
e=1 持续弹跳60s,1303,BOUNCING,AIRBORNE
e=1 持续弹跳60s,1456,AIRBORNE,BOUNCING
e=1 持续弹跳60s,1456,BOUNCING,AIRBORNE
e=1 持续弹跳60s,1610,AIRBORNE,BOUNCING
e=1 持续弹跳60s,1610,BOUNCING,AIRBORNE
e=1 持续弹跳60s,1763,AIRBORNE,BOUNCING
e=1 持续弹跳60s,1763,BOUNCING,AIRBORNE
e=1 持续弹跳60s,1916,AIRBORNE,BOUNCING
e=1 持续弹跳60s,1916,BOUNCING,AIRBORNE
e=1 持续弹跳60s,2069,AIRBORNE,BOUNCING
e=1 持续弹跳60s,2069,BOUNCING,AIRBORNE
e=1 持续弹跳60s,2223,AIRBORNE,BOUNCING
e=1 持续弹跳60s,2223,BOUNCING,AIRBORNE
e=1 持续弹跳60s,2376,AIRBORNE,BOUNCING
e=1 持续弹跳60s,2376,BOUNCING,AIRBORNE
e=1 持续弹跳60s,2529,AIRBORNE,BOUNCING
e=1 持续弹跳60s,2529,BOUNCING,AIRBORNE
e=1 持续弹跳60s,2682,AIRBORNE,BOUNCING
e=1 持续弹跳60s,2682,BOUNCING,AIRBORNE
e=1 持续弹跳60s,2836,AIRBORNE,BOUNCING
e=1 持续弹跳60s,2836,BOUNCING,AIRBORNE
e=1 持续弹跳60s,2989,AIRBORNE,BOUNCING
e=1 持续弹跳60s,2989,BOUNCING,AIRBORNE
e=1 持续弹跳60s,3142,AIRBORNE,BOUNCING
e=1 持续弹跳60s,3142,BOUNCING,AIRBORNE
e=1 持续弹跳60s,3295,AIRBORNE,BOUNCING
e=1 持续弹跳60s,3295,BOUNCING,AIRBORNE
e=1 持续弹跳60s,3449,AIRBORNE,BOUNCING
e=1 持续弹跳60s,3449,BOUNCING,AIRBORNE
e=1 持续弹跳60s,3602,AIRBORNE,BOUNCING
e=1 持续弹跳60s,3602,BOUNCING,AIRBORNE
e=1 持续弹跳60s,3755,AIRBORNE,BOUNCING
e=1 持续弹跳60s,3755,BOUNCING,AIRBORNE
e=1 持续弹跳60s,3908,AIRBORNE,BOUNCING
e=1 持续弹跳60s,3908,BOUNCING,AIRBORNE
e=1 持续弹跳60s,4061,AIRBORNE,BOUNCING
e=1 持续弹跳60s,4061,BOUNCING,AIRBORNE
e=1 持续弹跳60s,4215,AIRBORNE,BOUNCING
e=1 持续弹跳60s,4215,BOUNCING,AIRBORNE
e=1 持续弹跳60s,4368,AIRBORNE,BOUNCING
e=1 持续弹跳60s,4368,BOUNCING,AIRBORNE
e=1 持续弹跳60s,4521,AIRBORNE,BOUNCING
e=1 持续弹跳60s,4521,BOUNCING,AIRBORNE
e=1 持续弹跳60s,4674,AIRBORNE,BOUNCING
e=1 持续弹跳60s,4674,BOUNCING,AIRBORNE
e=1 持续弹跳60s,4828,AIRBORNE,BOUNCING
e=1 持续弹跳60s,4828,BOUNCING,AIRBORNE
e=1 持续弹跳60s,4981,AIRBORNE,BOUNCING
e=1 持续弹跳60s,4981,BOUNCING,AIRBORNE
e=1 持续弹跳60s,5134,AIRBORNE,BOUNCING
e=1 持续弹跳60s,5134,BOUNCING,AIRBORNE
e=1 持续弹跳60s,5287,AIRBORNE,BOUNCING
e=1 持续弹跳60s,5287,BOUNCING,AIRBORNE
e=1 持续弹跳60s,5441,AIRBORNE,BOUNCING
e=1 持续弹跳60s,5441,BOUNCING,AIRBORNE
e=1 持续弹跳60s,5594,AIRBORNE,BOUNCING
e=1 持续弹跳60s,5594,BOUNCING,AIRBORNE
e=1 持续弹跳60s,5747,AIRBORNE,BOUNCING
e=1 持续弹跳60s,5747,BOUNCING,AIRBORNE
e=1 持续弹跳60s,5900,AIRBORNE,BOUNCING
e=1 持续弹跳60s,5900,BOUNCING,AIRBORNE
e=1 持续弹跳60s,6053,AIRBORNE,BOUNCING
e=1 持续弹跳60s,6053,BOUNCING,AIRBORNE
e=1 持续弹跳60s,6207,AIRBORNE,BOUNCING
e=1 持续弹跳60s,6207,BOUNCING,AIRBORNE
e=1 持续弹跳60s,6360,AIRBORNE,BOUNCING
e=1 持续弹跳60s,6360,BOUNCING,AIRBORNE
e=1 持续弹跳60s,6513,AIRBORNE,BOUNCING
e=1 持续弹跳60s,6513,BOUNCING,AIRBORNE
e=1 持续弹跳60s,6666,AIRBORNE,BOUNCING
e=1 持续弹跳60s,6666,BOUNCING,AIRBORNE
e=1 持续弹跳60s,6820,AIRBORNE,BOUNCING
e=1 持续弹跳60s,6820,BOUNCING,AIRBORNE
e=1 持续弹跳60s,6973,AIRBORNE,BOUNCING
e=1 持续弹跳60s,6973,BOUNCING,AIRBORNE
e=1 持续弹跳60s,7126,AIRBORNE,BOUNCING
e=1 持续弹跳60s,7126,BOUNCING,AIRBORNE
