t,px,py,pz,vx,vy,vz,penetration,hasContact
0.0000,0.0000,0.1100,10.0000,10.642,3.814,27.788,0.00000,0
0.0250,0.2645,0.2018,10.6908,10.528,3.530,27.489,0.00000,0
0.0500,0.5264,0.2865,11.3746,10.423,3.249,27.216,0.00000,0
0.0750,0.7857,0.3642,12.0516,10.321,2.971,26.949,0.00000,0
0.1000,1.0425,0.4351,12.7221,10.221,2.696,26.688,0.00000,0
0.1250,1.2968,0.4991,13.3861,10.123,2.425,26.431,0.00000,0
0.1500,1.5486,0.5563,14.0437,10.026,2.156,26.180,0.00000,0
0.1750,1.7981,0.6069,14.6951,9.932,1.890,25.933,0.00000,0
0.2000,2.0452,0.6508,15.3404,9.839,1.626,25.691,0.00000,0
0.2250,2.2901,0.6882,15.9797,9.748,1.366,25.454,0.00000,0
0.2500,2.5327,0.7191,16.6131,9.659,1.107,25.221,0.00000,0
0.2750,2.7731,0.7436,17.2408,9.572,0.852,24.993,0.00000,0
0.3000,3.0113,0.7617,17.8628,9.486,0.598,24.768,0.00000,0
0.3250,3.2474,0.7735,18.4792,9.401,0.347,24.548,0.00000,0
0.3500,3.4814,0.7791,19.0902,9.318,0.098,24.331,0.00000,0
0.3750,3.7133,0.7785,19.6958,9.237,-0.148,24.119,0.00000,0
0.4000,4.0809,0.7727,20.0443,17.149,-0.338,9.320,0.00000,0
0.4250,4.5065,0.7611,20.2796,16.901,-0.582,9.503,0.00000,0
0.4500,4.9259,0.7436,20.5195,16.653,-0.824,9.681,0.00000,0
0.4750,5.3392,0.7199,20.7637,16.406,-1.065,9.853,0.00000,0
0.5000,5.7463,0.6903,21.0121,16.160,-1.304,10.020,0.00000,0
0.5250,6.1472,0.6547,21.2646,15.914,-1.542,10.182,0.00000,0
0.5500,6.5420,0.6132,21.5211,15.669,-1.778,10.338,0.00000,0
0.5750,6.9306,0.5658,21.7815,15.424,-2.013,10.490,0.00000,0
0.6000,7.3132,0.5126,22.0456,15.180,-2.246,10.636,0.00000,0
0.6250,7.6896,0.4536,22.3132,14.936,-2.477,10.777,0.00000,0
0.6500,8.0600,0.3888,22.5844,14.693,-2.708,10.913,0.00000,0
0.6750,8.4243,0.3182,22.8588,14.452,-2.936,11.044,0.00000,0
0.7000,8.7825,0.2419,23.1365,14.210,-3.164,11.171,0.00000,0
0.7250,9.1348,0.1600,23.4173,13.970,-3.390,11.293,0.00000,0
0.7500,9.4592,0.1351,23.6829,11.660,2.309,9.671,0.00000,1
0.7750,9.7486,0.1883,23.9260,11.490,1.944,9.775,0.00000,0
0.8000,10.0337,0.2324,24.1717,11.319,1.583,9.874,0.00000,0
0.8250,10.3146,0.2674,24.4197,11.147,1.224,9.969,0.00000,0
0.8500,10.5911,0.2936,24.6701,10.974,0.868,10.059,0.00000,0
0.8750,10.8632,0.3108,24.9226,10.799,0.515,10.145,0.00000,0
0.9000,11.1310,0.3193,25.1773,10.623,0.164,10.226,0.00000,0
0.9250,11.3944,0.3191,25.4339,10.446,-0.183,10.303,0.00000,0
0.9500,11.6533,0.3102,25.6924,10.268,-0.527,10.375,0.00000,0
0.9750,11.9077,0.2927,25.9527,10.089,-0.869,10.443,0.00000,0
1.0000,12.1577,0.2668,26.2145,9.909,-1.208,10.507,0.00000,0
1.0250,12.4031,0.2324,26.4780,9.728,-1.544,10.566,0.00000,0
1.0500,12.6441,0.1896,26.7428,9.546,-1.877,10.621,0.00000,0
1.0750,12.8805,0.1385,27.0090,9.364,-2.207,10.672,0.00000,0
1.1000,13.0984,0.1296,27.2582,8.075,1.467,9.243,0.00000,1
1.1250,13.2988,0.1615,27.4899,7.957,1.091,9.295,0.00000,0
1.1500,13.4963,0.1841,27.7229,7.837,0.717,9.342,0.00000,0
1.1750,13.6907,0.1974,27.9570,7.715,0.346,9.385,0.00000,0
1.2000,13.8820,0.2014,28.1921,7.591,-0.023,9.424,0.00000,0
1.2250,14.0702,0.1963,28.4281,7.465,-0.388,9.459,0.00000,0
1.2500,14.2552,0.1821,28.6650,7.337,-0.751,9.489,0.00000,0
1.2750,14.4370,0.1588,28.9026,7.208,-1.111,9.515,0.00000,0
1.3000,14.6156,0.1265,29.1407,7.077,-1.468,9.537,0.00000,0
1.3250,14.7821,0.1246,29.3637,6.328,0.917,8.432,0.00000,1
1.3500,14.9390,0.1429,29.5745,6.231,0.546,8.445,0.00000,0
1.3750,15.0937,0.1520,29.7860,6.141,0.177,8.470,0.00000,0
1.4000,15.2461,0.1518,29.9980,6.048,-0.189,8.491,0.00000,0
1.4250,15.3961,0.1426,30.2105,5.954,-0.552,8.508,0.00000,0
1.4500,15.5437,0.1242,30.4234,5.857,-0.914,8.520,0.00000,0
1.4750,15.6850,0.1177,30.6278,5.390,0.619,7.719,0.00000,1
1.5000,15.8183,0.1100,30.8200,5.271,0.255,7.639,0.00000,1
1.5250,15.9487,0.1099,31.0100,5.152,0.000,7.555,0.00000,1
1.5500,16.0761,0.1094,31.1979,5.036,0.000,7.467,0.00000,1
1.5750,16.2006,0.1090,31.3836,4.925,0.000,7.378,0.00106,1
1.6000,16.3225,0.1090,31.5671,4.817,0.000,7.288,0.00106,1
1.6250,16.4416,0.1090,31.7483,4.713,0.000,7.196,0.00105,1
1.6500,16.5582,0.1090,31.9272,4.612,0.000,7.102,0.00105,1
1.6750,16.6724,0.1090,32.1037,4.515,0.000,7.008,0.00105,1
1.7000,16.7841,0.1090,32.2778,4.421,0.000,6.912,0.00105,1
1.7250,16.8936,0.1090,32.4496,4.331,0.000,6.816,0.00105,1
1.7500,17.0008,0.1090,32.6189,4.244,0.000,6.718,0.00105,1
1.7750,17.1059,0.1090,32.7858,4.160,0.000,6.620,0.00105,1
1.8000,17.2089,0.1090,32.9502,4.079,0.000,6.520,0.00105,1
1.8250,17.3099,0.1090,33.1121,4.000,0.000,6.420,0.00105,1
1.8500,17.4090,0.1090,33.2715,3.925,0.000,6.320,0.00105,1
1.8750,17.5063,0.1090,33.4284,3.852,0.000,6.219,0.00105,1
1.9000,17.6017,0.1090,33.5827,3.781,0.000,6.117,0.00105,1
1.9250,17.6955,0.1090,33.7350,3.724,0.000,6.081,0.00105,1
1.9500,17.7880,0.1090,33.8869,3.671,0.000,6.064,0.00105,1
1.9750,17.8791,0.1090,34.0383,3.618,0.000,6.046,0.00105,1
2.0000,17.9689,0.1090,34.1893,3.567,0.000,6.028,0.00105,1
2.0250,18.0575,0.1090,34.3398,3.517,0.000,6.009,0.00105,1
2.0500,18.1448,0.1090,34.4898,3.467,0.000,5.990,0.00105,1
2.0750,18.2309,0.1090,34.6393,3.419,0.000,5.970,0.00105,1
2.1000,18.3158,0.1090,34.7884,3.371,0.000,5.950,0.00105,1
2.1250,18.3995,0.1090,34.9369,3.324,0.000,5.929,0.00105,1
2.1500,18.4820,0.1090,35.0849,3.278,0.000,5.908,0.00105,1
2.1750,18.5634,0.1090,35.2324,3.233,0.000,5.887,0.00105,1
2.2000,18.6437,0.1090,35.3793,3.189,0.000,5.865,0.00105,1
2.2250,18.7229,0.1090,35.5257,3.145,0.000,5.843,0.00105,1
2.2500,18.8010,0.1090,35.6715,3.103,0.000,5.820,0.00105,1
2.2750,18.8781,0.1090,35.8167,3.061,0.000,5.797,0.00111,1
2.3000,18.9541,0.1090,35.9614,3.019,0.000,5.774,0.00111,1
2.3250,19.0291,0.1090,36.1055,2.979,0.000,5.750,0.00111,1
2.3500,19.1031,0.1090,36.2490,2.939,0.000,5.726,0.00111,1
2.3750,19.1761,0.1090,36.3919,2.900,0.000,5.702,0.00111,1
2.4000,19.2482,0.1090,36.5342,2.862,0.000,5.678,0.00111,1
2.4250,19.3193,0.1090,36.6759,2.824,0.000,5.653,0.00111,1
2.4500,19.3894,0.1090,36.8170,2.787,0.000,5.628,0.00111,1
2.4750,19.4587,0.1090,36.9574,2.751,0.000,5.603,0.00111,1
2.5000,19.5270,0.1090,37.0972,2.715,0.000,5.578,0.00111,1
2.5250,19.5945,0.1090,37.2364,2.680,0.000,5.552,0.00111,1
2.5500,19.6611,0.1090,37.3749,2.646,0.000,5.527,0.00111,1
2.5750,19.7268,0.1090,37.5128,2.612,0.000,5.501,0.00111,1
2.6000,19.7917,0.1090,37.6501,2.579,0.000,5.475,0.00111,1
2.6250,19.8558,0.1090,37.7866,2.546,0.000,5.448,0.00111,1
2.6500,19.9191,0.1090,37.9226,2.514,0.000,5.422,0.00111,1
2.6750,19.9816,0.1090,38.0578,2.483,0.000,5.395,0.00111,1
2.7000,20.0433,0.1090,38.1924,2.452,0.000,5.369,0.00111,1
2.7250,20.1042,0.1090,38.3264,2.421,0.000,5.342,0.00111,1
2.7500,20.1644,0.1090,38.4596,2.391,0.000,5.315,0.00111,1
2.7750,20.2238,0.1090,38.5922,2.362,0.000,5.288,0.00111,1
2.8000,20.2825,0.1090,38.7241,2.333,0.000,5.261,0.00111,1
2.8250,20.3405,0.1090,38.8553,2.305,0.000,5.233,0.00111,1
2.8500,20.3978,0.1090,38.9859,2.277,0.000,5.206,0.00111,1
2.8750,20.4544,0.1090,39.1157,2.249,0.000,5.179,0.00111,1
2.9000,20.5103,0.1090,39.2449,2.222,0.000,5.151,0.00111,1
2.9250,20.5655,0.1090,39.3734,2.196,0.000,5.123,0.00111,1
2.9500,20.6201,0.1090,39.5012,2.169,0.000,5.096,0.00111,1
2.9750,20.6741,0.1090,39.6283,2.144,0.000,5.068,0.00111,1
3.0000,20.7273,0.1090,39.7547,2.118,0.000,5.040,0.00110,1
3.0250,20.7800,0.1090,39.8804,2.094,0.000,5.012,0.00110,1
3.0500,20.8321,0.1090,40.0054,2.069,0.000,4.984,0.00110,1
3.0750,20.8835,0.1090,40.1297,2.045,0.000,4.957,0.00110,1
3.1000,20.9344,0.1090,40.2533,2.021,0.000,4.929,0.00110,1
3.1250,20.9846,0.1090,40.3762,1.998,0.000,4.900,0.00110,1
3.1500,21.0343,0.1090,40.4984,1.975,0.000,4.872,0.00110,1
3.1750,21.0834,0.1090,40.6199,1.952,0.000,4.844,0.00110,1
3.2000,21.1319,0.1090,40.7407,1.930,0.000,4.816,0.00110,1
3.2250,21.1799,0.1090,40.8608,1.908,0.000,4.788,0.00110,1
3.2500,21.2274,0.1090,40.9802,1.887,0.000,4.760,0.00110,1
3.2750,21.2743,0.1090,41.0989,1.865,0.000,4.732,0.00110,1
3.3000,21.3207,0.1090,41.2169,1.844,0.000,4.703,0.00110,1
3.3250,21.3666,0.1090,41.3342,1.824,0.000,4.675,0.00110,1
3.3500,21.4119,0.1090,41.4507,1.803,0.000,4.647,0.00110,1
3.3750,21.4568,0.1090,41.5666,1.783,0.000,4.619,0.00110,1
3.4000,21.5011,0.1090,41.6818,1.764,0.000,4.590,0.00110,1
3.4250,21.5450,0.1090,41.7962,1.744,0.000,4.562,0.00110,1
3.4500,21.5884,0.1090,41.9100,1.725,0.000,4.534,0.00110,1
3.4750,21.6313,0.1090,42.0230,1.706,0.000,4.505,0.00110,1
3.5000,21.6737,0.1090,42.1353,1.688,0.000,4.477,0.00110,1
3.5250,21.7157,0.1090,42.2470,1.669,0.000,4.449,0.00110,1
3.5500,21.7572,0.1090,42.3579,1.651,0.000,4.421,0.00110,1
3.5750,21.7983,0.1090,42.4681,1.633,0.000,4.392,0.00110,1
3.6000,21.8389,0.1090,42.5776,1.616,0.000,4.364,0.00110,1
3.6250,21.8791,0.1090,42.6864,1.598,0.000,4.336,0.00110,1
3.6500,21.9189,0.1090,42.7945,1.581,0.000,4.308,0.00110,1
3.6750,21.9582,0.1090,42.9019,1.564,0.000,4.280,0.00110,1
3.7000,21.9971,0.1090,43.0086,1.548,0.000,4.251,0.00110,1
3.7250,22.0356,0.1090,43.1145,1.531,0.000,4.223,0.00110,1
3.7500,22.0737,0.1090,43.2198,1.515,0.000,4.195,0.00110,1
3.7750,22.1114,0.1090,43.3244,1.499,0.000,4.167,0.00110,1
3.8000,22.1487,0.1090,43.4283,1.483,0.000,4.139,0.00110,1
3.8250,22.1856,0.1090,43.5314,1.467,0.000,4.111,0.00110,1
3.8500,22.2221,0.1090,43.6339,1.452,0.000,4.083,0.00110,1
3.8750,22.2582,0.1090,43.7357,1.437,0.000,4.055,0.00110,1
3.9000,22.2940,0.1090,43.8367,1.422,0.000,4.027,0.00110,1
3.9250,22.3293,0.1090,43.9371,1.407,0.000,3.999,0.00110,1
3.9500,22.3643,0.1090,44.0368,1.392,0.000,3.971,0.00110,1
3.9750,22.3990,0.1090,44.1358,1.377,0.000,3.943,0.00110,1
4.0000,22.4332,0.1090,44.2340,1.363,0.000,3.915,0.00110,1
4.0250,22.4672,0.1090,44.3316,1.349,0.000,3.887,0.00110,1
4.0500,22.5007,0.1090,44.4285,1.335,0.000,3.859,0.00110,1
4.0750,22.5339,0.1090,44.5247,1.321,0.000,3.832,0.00110,1
4.1000,22.5668,0.1090,44.6202,1.307,0.000,3.804,0.00110,1
4.1250,22.5993,0.1090,44.7150,1.294,0.000,3.776,0.00110,1
