t,tick,state,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,forces,forcesNames,cnx,cny,cnz,hasContact,penetration,vSlip
0.000000,0,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000,0.000000,0,0.000000,0.000000
0.008333,1,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
0.016667,2,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
0.025000,3,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
0.033333,4,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
0.041667,5,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
0.050000,6,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
0.058333,7,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
0.066667,8,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
0.075000,9,REST,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
